Stemming,negasi
capee pake shopee lot banget padahal apk lain ga lot saya kira hp saya atau jaring yang lot tp pas keluar dri shopee lancar banget kecewa tolong baik shopee ga seperti dlu lagi,"['capee', 'pake', 'shopee', 'lot', 'banget', 'padahal', 'apk', 'lain', 'ga', 'lot', 'saya', 'kira', 'hp', 'saya', 'atau', 'jaring', 'yang', 'lot', 'tp', 'pas', 'keluar', 'dri', 'shopee', 'lancar', 'banget', 'kecewa', 'tolong', 'baik', 'shopee', 'ga', 'seperti', 'dlu', 'lagi']"
apk nya sih baguuss tapi aman privasi kurang barusan akun saya dihack telah itu beri tahu kalo saya menang uang dan harus isi saldo sampe nelpon nelpon berapa kali emang di apknya ada pemberitahuan nya saya menang uang jt tapi saldo saya malah sedot samper akun saya logout sendiri,"['apk', 'nya', 'sih', 'baguuss', 'tapi', 'aman', 'privasi', 'kurang', 'barusan', 'akun', 'saya', 'dihack', 'telah', 'itu', 'beri', 'tahu', 'kalo', 'saya', 'menang', 'uang', 'dan', 'harus', 'isi', 'saldo', 'sampe', 'nelpon', 'nelpon', 'berapa', 'kali', 'emang', 'di', 'apknya', 'ada', 'pemberitahuan', 'nya', 'saya', 'menang', 'uang', 'jt', 'tapi', 'saldo', 'saya', 'malah', 'sedot', 'samper', 'akun', 'saya', 'logout', 'sendiri']"
shoppe tolong jelas kan kenapa harga ongkir luar negeri lebiihh murah dari ongkir di indonesia itu kenapa,"['shoppe', 'tolong', 'jelas', 'kan', 'kenapa', 'harga', 'ongkir', 'luar', 'negeri', 'lebiihh', 'murah', 'dari', 'ongkir', 'di', 'indonesia', 'itu', 'kenapa']"
saya hampir th langgan dishope tapi kali ini kecewa dg ongkir yg mahal dan pilih expedisi kirim yg tentu oleh shope tolong ikan hak kami untuk pilih karena kami lebih tau yg kita butuh dan yg kita ingin jangan ambil putus yg berat customer kalian,"['saya', 'hampir', 'th', 'langgan', 'dishope', 'tapi', 'kali', 'ini', 'kecewa', 'dg', 'ongkir', 'yg', 'mahal', 'dan', 'pilih', 'expedisi', 'kirim', 'yg', 'tentu', 'oleh', 'shope', 'tolong', 'ikan', 'hak', 'kami', 'untuk', 'pilih', 'karena', 'kami', 'lebih', 'tau', 'yg', 'kita', 'butuh', 'dan', 'yg', 'kita', 'ingin', 'tidak_ambil', 'putus', 'yg', 'berat', 'customer', 'kalian']"
telah update ketika bayar lewat shopee pay malah ngeblank kata promo ongkir rupiah tp malah eror sama aja boong tipu tipu lo,"['telah', 'update', 'ketika', 'bayar', 'lewat', 'shopee', 'pay', 'malah', 'ngeblank', 'kata', 'promo', 'ongkir', 'rupiah', 'tp', 'malah', 'eror', 'sama', 'aja', 'boong', 'tipu', 'tipu', 'lo']"
kenapa kode otp no hp untuk login atau untuk daftar shopee pay gk di kirim ud ulang ulang aku coba tapi tetap sama mohon jelas,"['kenapa', 'kode', 'otp', 'no', 'hp', 'untuk', 'login', 'atau', 'untuk', 'daftar', 'shopee', 'pay', 'gk', 'di', 'kirim', 'ud', 'ulang', 'ulang', 'aku', 'coba', 'tapi', 'tetap', 'sama', 'mohon', 'jelas']"
kenapa di sopy bayak dajal tipu saya udh tipu mau beli barang makah di batalin sama toko tau tau toko ajing bilang punya toko mau antri owngiriman tau minta otp saya saya brtaya sama cd sopi bilang akun asli sopy tiba dia batal kn pesan saya uang balik ke saldo sopi tpi ad yng tramper rin ke buka warung onlwn akun saya tdi penbeli beru bah jadi penyual di sopy bayk setan duit tipu sungguh saya ke cewa sma sopi tutup ajh apikasi sopi dari pada bayak korban,"['kenapa', 'di', 'sopy', 'bayak', 'dajal', 'tipu', 'saya', 'udh', 'tipu', 'mau', 'beli', 'barang', 'makah', 'di', 'batalin', 'sama', 'toko', 'tau', 'tau', 'toko', 'ajing', 'bilang', 'punya', 'toko', 'mau', 'antri', 'owngiriman', 'tau', 'minta', 'otp', 'saya', 'saya', 'brtaya', 'sama', 'cd', 'sopi', 'bilang', 'akun', 'asli', 'sopy', 'tiba', 'dia', 'batal', 'kn', 'pesan', 'saya', 'uang', 'balik', 'ke', 'saldo', 'sopi', 'tpi', 'ad', 'yng', 'tramper', 'rin', 'ke', 'buka', 'warung', 'onlwn', 'akun', 'saya', 'tdi', 'penbeli', 'beru', 'bah', 'jadi', 'penyual', 'di', 'sopy', 'bayk', 'setan', 'duit', 'tipu', 'sungguh', 'saya', 'ke', 'cewa', 'sma', 'sopi', 'tutup', 'ajh', 'apikasi', 'sopi', 'dari', 'pada', 'bayak', 'korban']"
payah masa komplain tiap hari bagai jual agar gratis ongkirnya dibenerin ga ada tindak padahal daftar sukses orde tiap hri jg ada,"['payah', 'masa', 'komplain', 'tiap', 'hari', 'bagai', 'jual', 'agar', 'gratis', 'ongkirnya', 'dibenerin', 'ga', 'ada', 'tindak', 'padahal', 'daftar', 'sukses', 'orde', 'tiap', 'hri', 'jg', 'ada']"
kata guna baru bisa dapet voucher gratis ongkir ehh voucher gk bisa di pake udah nyoba pake nomor tetep gak bisa,"['kata', 'guna', 'baru', 'bisa', 'dapet', 'voucher', 'gratis', 'ongkir', 'ehh', 'voucher', 'gk', 'bisa', 'di', 'pake', 'udah', 'nyoba', 'pake', 'nomor', 'tetep', 'tidak_bisa']"
kecewa sih saya bagai reseller buat maka grtis ongkir batas sekarang ada limit mimgguan doang dlam minggu buat apa dkrimin vocher terus tp ga bsa guna sangat kecewa shopee pelit sekali,"['kecewa', 'sih', 'saya', 'bagai', 'reseller', 'buat', 'maka', 'grtis', 'ongkir', 'batas', 'sekarang', 'ada', 'limit', 'mimgguan', 'doang', 'dlam', 'minggu', 'buat', 'apa', 'dkrimin', 'vocher', 'terus', 'tp', 'ga', 'bsa', 'guna', 'sangat', 'kecewa', 'shopee', 'pelit', 'sekali']"
saya guna baru shopee tapi baru beli sekali pakai nomor itu malah waktu mau beli lg pakai nomor yang sama gak bisa kecewa deh jadi nya,"['saya', 'guna', 'baru', 'shopee', 'tapi', 'baru', 'beli', 'sekali', 'pakai', 'nomor', 'itu', 'malah', 'waktu', 'mau', 'beli', 'lg', 'pakai', 'nomor', 'yang', 'sama', 'tidak_bisa', 'kecewa', 'deh', 'jadi', 'nya']"
mohon maaf karena saya beri rating aplikasi ini terlalu banyak guna memori hp telah diinstal aplikasi ini bisa guna memori hape sampai mb lebih jauh lebih besar banding dgn akun marketplace lain yg guna memori sekitar mb selain itu di hlp saya jg muncul ada file sampah yang deteksi oleh aplikasi bersih bawa  file itu nama shopee bla bla bisa sampai beberapa file dgn file besar sekitar mb mungkin ini hanya saya yg alami,"['mohon', 'maaf', 'karena', 'saya', 'beri', 'rating', 'aplikasi', 'ini', 'terlalu', 'banyak', 'guna', 'memori', 'hp', 'telah', 'diinstal', 'aplikasi', 'ini', 'bisa', 'guna', 'memori', 'hape', 'sampai', 'mb', 'lebih', 'jauh', 'lebih', 'besar', 'banding', 'dgn', 'akun', 'marketplace', 'lain', 'yg', 'guna', 'memori', 'sekitar', 'mb', 'selain', 'itu', 'di', 'hlp', 'saya', 'jg', 'muncul', 'ada', 'file', 'sampah', 'yang', 'deteksi', 'oleh', 'aplikasi', 'bersih', 'bawa', '', 'file', 'itu', 'nama', 'shopee', 'bla', 'bla', 'bisa', 'sampai', 'beberapa', 'file', 'dgn', 'file', 'besar', 'sekitar', 'mb', 'mungkin', 'ini', 'hanya', 'saya', 'yg', 'alami']"
sekarang udah makin jelek apl ini mo blanja repot stengah mati harga juga lebih mahal dari lazada dan toko dia sory gwe unistal aja,"['sekarang', 'udah', 'makin', 'jelek', 'apl', 'ini', 'mo', 'blanja', 'repot', 'stengah', 'mati', 'harga', 'juga', 'lebih', 'mahal', 'dari', 'lazada', 'dan', 'toko', 'dia', 'sory', 'gwe', 'unistal', 'aja']"
sebenernya suka tapi lama lama lot banget parah gila foto gak muncul muncul padahal nonton yutub lancar jaya butuh sinyal kek,"['sebenernya', 'suka', 'tapi', 'lama', 'lama', 'lot', 'banget', 'parah', 'gila', 'foto', 'tidak_muncul', 'muncul', 'padahal', 'nonton', 'yutub', 'lancar', 'jaya', 'butuh', 'sinyal', 'kek']"
aku rangin bintang nya karena shopee sekarang ga bisa pilih jasa kurir yang kita ken telah di update makin ga nyaman belanja di shopee,"['aku', 'rangin', 'bintang', 'nya', 'karena', 'shopee', 'sekarang', 'ga', 'bisa', 'pilih', 'jasa', 'kurir', 'yang', 'kita', 'ken', 'telah', 'di', 'update', 'makin', 'ga', 'nyaman', 'belanja', 'di', 'shopee']"
saya mesen barang nih dri minggu kmrn sampe sekarang ko msh di kemas aja blm di kirim lama bener asa dolo saya beli barang lama kemudian langsung di kirim hadeuh,"['saya', 'mesen', 'barang', 'nih', 'dri', 'minggu', 'kmrn', 'sampe', 'sekarang', 'ko', 'msh', 'di', 'kemas', 'aja', 'blm', 'di', 'kirim', 'lama', 'bener', 'asa', 'dolo', 'saya', 'beli', 'barang', 'lama', 'kemudian', 'langsung', 'di', 'kirim', 'hadeuh']"
knp shoope jadi gin pdhl blm pernah guna baru dapet voucher gratis ongkir tp knp ga bisa dipake pdhl blm pernah dipake,"['knp', 'shoope', 'jadi', 'gin', 'pdhl', 'blm', 'pernah', 'guna', 'baru', 'dapet', 'voucher', 'gratis', 'ongkir', 'tp', 'knp', 'ga', 'bisa', 'dipake', 'pdhl', 'blm', 'pernah', 'dipake']"
apa kok kasih promo bulan sekali pun cuma hari toko banyak yg belum free ongkir krn ada tahap proses verif ktp aja susah gagal ae,"['apa', 'kok', 'kasih', 'promo', 'bulan', 'sekali', 'pun', 'cuma', 'hari', 'toko', 'banyak', 'yg', 'belum', 'free', 'ongkir', 'krn', 'ada', 'tahap', 'proses', 'verif', 'ktp', 'aja', 'susah', 'gagal', 'ae']"
bintang satu ah shopee gak jelas udah bener bisa milih jasa expedisi malah sekarang gk bisa milih hadeh,"['bintang', 'satu', 'ah', 'shopee', 'tidak_jelas', 'udah', 'bener', 'bisa', 'milih', 'jasa', 'expedisi', 'malah', 'sekarang', 'gk', 'bisa', 'milih', 'hadeh']"
sekarang sistem nya jelek belanja malah mahal di ongkir kalo sistem nya kaya gin mending stop pake shopee tolong dong kembali sistem shopee yang dulu makin diupgrade malah makin jelek,"['sekarang', 'sistem', 'nya', 'jelek', 'belanja', 'malah', 'mahal', 'di', 'ongkir', 'kalo', 'sistem', 'nya', 'kaya', 'gin', 'mending', 'stop', 'pake', 'shopee', 'tolong', 'dong', 'kembali', 'sistem', 'shopee', 'yang', 'dulu', 'makin', 'diupgrade', 'malah', 'makin', 'jelek']"
samsung nggak bisa untuk bayar kalo ke menu profil dan bayar cuman ada halaman putih aja,"['samsung', 'nggak', 'bisa', 'untuk', 'bayar', 'kalo', 'ke', 'menu', 'profil', 'dan', 'bayar', 'cuman', 'ada', 'halaman', 'putih', 'aja']"
sangat kecewa dengan jasa kirim shope yg di satu jadi reguler orng dari luar kota jadi mahal ongkirnya seperti saya dari sulawesi biasa kalau belanja pakai vocher gak bayar ongkir skrng udh gak bisa mau di jual kembali jadi susah kasi harga,"['sangat', 'kecewa', 'dengan', 'jasa', 'kirim', 'shope', 'yg', 'di', 'satu', 'jadi', 'reguler', 'orng', 'dari', 'luar', 'kota', 'jadi', 'mahal', 'ongkirnya', 'seperti', 'saya', 'dari', 'sulawesi', 'biasa', 'kalau', 'belanja', 'pakai', 'vocher', 'tidak_bayar', 'ongkir', 'skrng', 'udh', 'tidak_bisa', 'mau', 'di', 'jual', 'kembali', 'jadi', 'susah', 'kasi', 'harga']"
bnar parah shopee nya saya mesan tgl kmrin smpe tgl ini blm juga nyampe pdhal lokasi toko dijakarta ini lama bnget kayak krim dari china bikin marah aplikasi ini smua lelet layan nya gk biasa bgus sblm nya,"['bnar', 'parah', 'shopee', 'nya', 'saya', 'mesan', 'tgl', 'kmrin', 'smpe', 'tgl', 'ini', 'blm', 'juga', 'nyampe', 'pdhal', 'lokasi', 'toko', 'dijakarta', 'ini', 'lama', 'bnget', 'kayak', 'krim', 'dari', 'china', 'bikin', 'marah', 'aplikasi', 'ini', 'smua', 'lelet', 'layan', 'nya', 'gk', 'biasa', 'bgus', 'sblm', 'nya']"
tipu ni shopee kasih nya notifikasi spinjam tau bunga nya mahal banget saya coba pinjam juta tapi bunga nya juta bulan rb lama bulan jadi total bunga nya juta saya jadi aju spinjam buat modal jual tapi bunga nya mahal banget lebih koprasi aja saya mau balik tu uang ga bisa di balik kalo mau balik juga harus nyicil bulan terus shoppe tetap dapat untung gila yaa shopee nipu banget nyesal saya belanja lama ini,"['tipu', 'ni', 'shopee', 'kasih', 'nya', 'notifikasi', 'spinjam', 'tau', 'bunga', 'nya', 'mahal', 'banget', 'saya', 'coba', 'pinjam', 'juta', 'tapi', 'bunga', 'nya', 'juta', 'bulan', 'rb', 'lama', 'bulan', 'jadi', 'total', 'bunga', 'nya', 'juta', 'saya', 'jadi', 'aju', 'spinjam', 'buat', 'modal', 'jual', 'tapi', 'bunga', 'nya', 'mahal', 'banget', 'lebih', 'koprasi', 'aja', 'saya', 'mau', 'balik', 'tu', 'uang', 'ga', 'bisa', 'di', 'balik', 'kalo', 'mau', 'balik', 'juga', 'harus', 'nyicil', 'bulan', 'terus', 'shoppe', 'tetap', 'dapat', 'untung', 'gila', 'yaa', 'shopee', 'nipu', 'banget', 'nyesal', 'saya', 'belanja', 'lama', 'ini']"
halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusi kak,"['halo', 'kak', 'knpa', 'saya', 'tidak_bisa', 'mengupdate', 'aplikasi', 'shopee', 'yg', 'baru', 'ya', 'padahal', 'ram', 'dan', 'memori', 'saya', 'masih', 'banyak', 'ni', 'mohon', 'solusi', 'kak']"
terlalu banyak potong buat seller sama az lo yg jual bukan kami yg jual dan banyak barang luar negeri yg masuk hancurin umkm,"['terlalu', 'banyak', 'potong', 'buat', 'seller', 'sama', 'az', 'lo', 'yg', 'jual', 'tidak_kami', 'yg', 'jual', 'dan', 'banyak', 'barang', 'luar', 'negeri', 'yg', 'masuk', 'hancurin', 'umkm']"
bintang dulu soal banyak transaksi yg ada poin cashback nya gk di kirim oleh pihak shopee dan ini sudah lebih dari jam,"['bintang', 'dulu', 'soal', 'banyak', 'transaksi', 'yg', 'ada', 'poin', 'cashback', 'nya', 'gk', 'di', 'kirim', 'oleh', 'pihak', 'shopee', 'dan', 'ini', 'sudah', 'lebih', 'dari', 'jam']"
gk suka karna ongkir nya tuhh sampai ribu padahal itu baru ongkir nya aja belum belanja kalo sama sena pasti mahal bgt apalagi biasa datang itu salah tolong di baik lagi ya tolong ya,"['gk', 'suka', 'karna', 'ongkir', 'nya', 'tuhh', 'sampai', 'ribu', 'padahal', 'itu', 'baru', 'ongkir', 'nya', 'aja', 'belum', 'belanja', 'kalo', 'sama', 'sena', 'pasti', 'mahal', 'bgt', 'apalagi', 'biasa', 'datang', 'itu', 'salah', 'tolong', 'di', 'baik', 'lagi', 'ya', 'tolong', 'ya']"
shopee layan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah hari gak ke kirim kirim tapi saldo shopee paynya kurang kan aneh tolong dong di bagusin buat fiturnya,"['shopee', 'layan', 'nya', 'jelek', 'masa', 'saya', 'kan', 'mau', 'transfer', 'dari', 'shopee', 'pay', 'ke', 'atm', 'udah', 'hari', 'tidak_ke', 'kirim', 'kirim', 'tapi', 'saldo', 'shopee', 'paynya', 'kurang', 'kan', 'aneh', 'tolong', 'dong', 'di', 'bagusin', 'buat', 'fiturnya']"
gratis ongkir tapi harga barang lebih mahal dari belah sama aja masih murah toko belah hahahha,"['gratis', 'ongkir', 'tapi', 'harga', 'barang', 'lebih', 'mahal', 'dari', 'belah', 'sama', 'aja', 'masih', 'murah', 'toko', 'belah', 'hahahha']"
susah bgt buat bikin alamat baru saya bekas masa titik di banten mau checkout ga bisa sangat kecewa,"['susah', 'bgt', 'buat', 'bikin', 'alamat', 'baru', 'saya', 'bekas', 'masa', 'titik', 'di', 'banten', 'mau', 'checkout', 'ga', 'bisa', 'sangat', 'kecewa']"
telah di update sering banget jadi salah padahal jaring bagus dan kuota ada kecewa saya bagai guna lama apk shopee,"['telah', 'di', 'update', 'sering', 'banget', 'jadi', 'salah', 'padahal', 'jaring', 'bagus', 'dan', 'kuota', 'ada', 'kecewa', 'saya', 'bagai', 'guna', 'lama', 'apk', 'shopee']"
promo download app shoppee dapat pulsa gratis rb stlah didownload mana ada pls gratis yg ada vocher gratis diskon utk belanja andal saya tetap tokopedia,"['promo', 'download', 'app', 'shoppee', 'dapat', 'pulsa', 'gratis', 'rb', 'stlah', 'didownload', 'mana', 'ada', 'pls', 'gratis', 'yg', 'ada', 'vocher', 'gratis', 'diskon', 'utk', 'belanja', 'andal', 'saya', 'tetap', 'tokopedia']"
ada bug pada saat hendak pasu ongkir tiba tiba ubah jadi ukur barang sudah dimasukin ukurang barang tetapp tidak bisa di simpan harus di close app dan input ulang baru bisa lagi ayo saya harus kerja kali ini,"['ada', 'bug', 'pada', 'saat', 'hendak', 'pasu', 'ongkir', 'tiba', 'tiba', 'ubah', 'jadi', 'ukur', 'barang', 'sudah', 'dimasukin', 'ukurang', 'barang', 'tetapp', 'tidak_bisa', 'di', 'simpan', 'harus', 'di', 'close', 'app', 'dan', 'input', 'ulang', 'baru', 'bisa', 'lagi', 'ayo', 'saya', 'harus', 'kerja', 'kali', 'ini']"
sekarang shope jadi aneh banget masa ngak bisa pilih ekspedisi kirim nya sendiri voucher gratis ongkir cuma buat shopepay doang,"['sekarang', 'shope', 'jadi', 'aneh', 'banget', 'masa', 'ngak', 'bisa', 'pilih', 'ekspedisi', 'kirim', 'nya', 'sendiri', 'voucher', 'gratis', 'ongkir', 'cuma', 'buat', 'shopepay', 'doang']"
maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo mohon minta jelas nya dari pihak shopee,"['maaf', 'saya', 'mau', 'tanya', 'kenapa', 'login', 'shopee', 'pay', 'saya', 'selalu', 'gagal', 'padahal', 'saya', 'sudah', 'isi', 'saldo', 'mohon', 'minta', 'jelas', 'nya', 'dari', 'pihak', 'shopee']"
flash sale apa pas refresh sndr malah tbtb abis hoax marketing tapi salah tempat mohon koreksi jangan buat cs topup sia gan thanks,"['flash', 'sale', 'apa', 'pas', 'refresh', 'sndr', 'malah', 'tbtb', 'abis', 'hoax', 'marketing', 'tapi', 'salah', 'tempat', 'mohon', 'koreksi', 'tidak_buat', 'cs', 'topup', 'sia', 'gan', 'thanks']"
sistem ekspedisi yg sekarang gk bagus sama sekali gk bisa pilih lg kembali pilih ekspedisi yg dulu atau kami pindah ke marketplace yg lain,"['sistem', 'ekspedisi', 'yg', 'sekarang', 'gk', 'bagus', 'sama', 'sekali', 'gk', 'bisa', 'pilih', 'lg', 'kembali', 'pilih', 'ekspedisi', 'yg', 'dulu', 'atau', 'kami', 'pindah', 'ke', 'marketplace', 'yg', 'lain']"
mau daftar aju freeongkir untuk jual aja lama dan susah ga kaya ecomerce belah tinggal klik ga perlu aju ribet banget,"['mau', 'daftar', 'aju', 'freeongkir', 'untuk', 'jual', 'aja', 'lama', 'dan', 'susah', 'ga', 'kaya', 'ecomerce', 'belah', 'tinggal', 'klik', 'ga', 'perlu', 'aju', 'ribet', 'banget']"
gak bisa masuk ah jelek pake akun google gak bisa akun fb gak bisa pake no hp gak bisa,"['tidak_bisa', 'masuk', 'ah', 'jelek', 'pake', 'akun', 'google', 'tidak_bisa', 'akun', 'fb', 'tidak_bisa', 'pake', 'no', 'hp', 'tidak_bisa']"
makin ribet belanja di shopee harus di foto dulu ama kurir nya ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto gpp ga penting,"['makin', 'ribet', 'belanja', 'di', 'shopee', 'harus', 'di', 'foto', 'dulu', 'ama', 'kurir', 'nya', 'ngapain', 'sih', 'pake', 'di', 'foto', 'segala', 'kita', 'kalo', 'barang', 'nyampe', 'juga', 'ga', 'perlu', 'di', 'foto', 'gpp', 'ga', 'penting']"
kenapa voucher guna baru tidak bisa guna masa tera voucher sudah guna padahal baru banget daftar shopee,"['kenapa', 'voucher', 'guna', 'baru', 'tidak_bisa', 'guna', 'masa', 'tera', 'voucher', 'sudah', 'guna', 'padahal', 'baru', 'banget', 'daftar', 'shopee']"
shopee mending fokus bikin tempat lapak jual saja gak perlu ada jasa ekspedisi shopee exspres krn jasa shopee exspres sangat buruk jelek gak seperti jnt dan jne sekali lagi ekspedisi kalian buruk sangat sangat buruk,"['shopee', 'mending', 'fokus', 'bikin', 'tempat', 'lapak', 'jual', 'saja', 'tidak_perlu', 'ada', 'jasa', 'ekspedisi', 'shopee', 'exspres', 'krn', 'jasa', 'shopee', 'exspres', 'sangat', 'buruk', 'jelek', 'tidak_seperti', 'jnt', 'dan', 'jne', 'sekali', 'lagi', 'ekspedisi', 'kalian', 'buruk', 'sangat', 'sangat', 'buruk']"
